Name,Band number,Region,Address 1,Address 2,City,Province,Postal Code
La Nation Innu Matimekush-Lac John,87,QC,170 rue Pearce Lake,,Schefferville,QC,G0G 2T0
La Nation Micmac de Gespeg,53,QC,"34 Montee de Corte-Real, C.P. 69 Succ. Fontenelle",,Gaspe,QC,G4X 6V2
Les Atikamekw de Manawan,78,QC,135 Rue Kicik,,Manawan,QC,J0K 1M0
Les Innus de Ekuanitshit,82,QC,35 rue Manitou,,Ekuanitshit,QC,G0G 1V0
Listuguj Mi'gmaq Government,51,QC,"17 Riverside Street West,  P.O. Box 298",,Listuguj,QC,G0C 2R0
Long Point First Nation,67,QC,"112 Kakinwawigak Mikana, P.O. Box 1",,Winneway,QC,J0Z 2J0
Premiere nation de Whapmagoostui,95,QC,P.O. Box 390,,Whapmagoostui,QC,J0M 1G0
Premiere Nation des Abenakis de W�linak,71,QC,10120 Rue Kolipao,,W�linak,QC,G0X 1B0
Premiere Nation des Innus de Nutashkuan,83,QC,78 rue Mashkush,,Natashquan,QC,G0G 2E0
Premiere Nation des Pekuakamiulnuatsh,76,QC,1671 rue Ouiatchouan,,Mashteuiatsh,QC,G0W 2H0
Premi�re Nation Wolastoqiyik (Mal�cite) Wahsipekuk,54,QC,217 rue de la Greve,,Cacouna,QC,G0L 1G0
The Crees of the Waskaganish First Nation,61,QC,"70 Waskaganish Street, P.O. BOX 60",,Waskaganish,QC,J0M 1R0
Timiskaming First Nation,64,QC,24 Algonquin Avenue,,Notre-Dame-du-Nord,QC,J0Z 3B0
Waswanipi,56,QC,"1 Chief Louis R. Gull Street,  Diom Blacksmith Building,  P.O. Box 8",,Waswapini,QC,J0Y 3C0
Wolf Lake,68,QC,"Hunter's Point, P.O. Box 998",,Temiscaming,QC,J0Z 3R0
Ahtahkakoop,406,SK,PO BOX 220,,SHELL LAKE,SK,S0J 2G0
Beardy's and Okemasis,369,SK,PO BOX 340,,DUCK LAKE,SK,S0K 1J0
Big Island Lake Cree Nation,399,SK,PO BOX 309,,PIERCELAND,SK,S0M 2K0
Big River,404,SK,PO BOX 519,,DEBDEN,SK,S0J 0S0
Cowessess,361,SK,PO BOX 100,,COWESSESS,SK,S0G 5L0
Cumberland House Cree Nation,350,SK,PO BOX 220,,CUMBERLAND HOUSE,SK,S0E 0S0
Day Star,389,SK,PO BOX 277,,PUNNICHY,SK,S0A 3C0
English River First Nation,400,SK,GENERAL DELIVERY,,PATUANAK,SK,S0M 2H0
Fishing Lake First Nation,390,SK,PO BOX 508,,WADENA,SK,S0A 4J0
Flying Dust First Nation,395,SK,8001 FLYING DUST RESERVE,,MEADOW LAKE,SK,S9X 1T8
Fond du Lac,351,SK,PO BOX 211,,FOND DU LAC,SK,S0J 0W0
George Gordon First Nation,391,SK,PO BOX 248,,PUNNICHY,SK,S0A 3C0
Hatchet Lake,352,SK,GENERAL DELIVERY,,WOLLASTON LAKE,SK,S0J 3C0
James Smith,370,SK,PO BOX 1059,,MELFORT,SK,S0E 1A0
Kahkewistahaw,362,SK,PO BOX 609,,BROADVIEW,SK,S0G 0K0
Kawacatoose,393,SK,PO BOX 640,,RAYMORE,SK,S0A 3J0
Keeseekoose,367,SK,PO BOX 1120,,KAMSACK,SK,S0A 1S0
Kinistin Saulteaux Nation,377,SK,PO BOX 2590,,TISDALE,SK,S0E 1T0
Lac La Ronge,353,SK,PO BOX 480,,LA RONGE,SK,S0J 1L0
Little Black Bear,379,SK,PO BOX 40,,GOODEVE,SK,S0A 1C0
Mistawasis Nehiyawak,374,SK,PO BOX 250,,LEASK,SK,S0J 1M0
Montreal Lake,354,SK,PO BOX 106,,MONTREAL LAKE,SK,S0J 1Y0
Moosomin,342,SK,PO BOX 98,,COCHIN,SK,S0M 0L0
"Mosquito, Grizzly Bear's Head, Lean Man First Nations",343,SK,PO BOX 177,,CANDO,SK,S0K 0V0
Muscowpetung,381,SK,PO BOX 1310,,FORT QU'APPELLE,SK,S0G 1S0
Muskeg Lake Cree Nation #102,375,SK,PO BOX 248,,MARCELIN,SK,S0J 1R0
Muskoday First Nation,371,SK,PO BOX 99,,MUSKODAY,SK,S0J 3H0
Muskowekwan,392,SK,PO BOX 249,,LESTOCK,SK,S0A 2G0
Nekaneet,380,SK,PO BOX 548,,MAPLE CREEK,SK,S0N 1N0
Ocean Man,408,SK,PO BOX 157,,STOUGHTON,SK,S0G 4T0
Ochapowace,363,SK,PO BOX 550,,WHITEWOOD,SK,S0G 5C0
Okanese,382,SK,PO BOX 759,,BALCARRES,SK,S0G 0C0
One Arrow First Nation,373,SK,PO BOX 147,,BELLEVUE,SK,S0K 3Y0
Onion Lake Cree Nation,344,SK,PO BOX 100,,ONION LAKE,SK,S0M 2E0
Poundmaker,345,SK,PO BOX 610,,CUTKNIFE,SK,S0M 0N0
Red Earth,356,SK,PO BOX 109,,RED EARTH,SK,S0E 1K0
Red Pheasant,346,SK,PO BOX 70,,CANDO,SK,S0K 0V0
Saulteaux,347,SK,PO BOX 159,,COCHIN,SK,S0M 0L0
Shoal Lake Cree Nation,357,SK,PO BOX 51,,PAKWAW,SK,S0E 1G0
Standing Buffalo,386,SK,PO BOX 128,,FORT QU'APPELLE,SK,S0G 1S0
Star Blanket Cree Nation,387,SK,PO BOX 456,,BALCARRES,SK,S0G 0C0
Sturgeon Lake First Nation,360,SK,"RR 1 SITE 12, PO BOX 5",,SHELLBROOK,SK,S0J 2E0
Sweetgrass,348,SK,PO BOX 147,,GALLIVAN,SK,S0M 0X0
The Key First Nation,368,SK,PO BOX 70,,NORQUAY,SK,S0A 2V0
Thunderchild First Nation,349,SK,PO BOX 600,,TURTLEFORD,SK,S0M 2Y0
Wahpeton Dakota Nation,358,SK,PO BOX 128,,PRINCE ALBERT,SK,S6V 5R4
Waterhen Lake,402,SK,PO BOX 9,,WATERHEN LAKE,SK,S0M 3B0
White Bear,365,SK,PO BOX 700,,CARLYLE,SK,S0C 0R0
Whitecap Dakota First Nation,372,SK,182 CHIEF WHITECAP TRAIL,,WHITECAP,SK,S7K 2L2
Witchekan Lake,407,SK,PO BOX 879,,SPIRITWOOD,SK,S0J 2M0
Wood Mountain,388,SK,PO BOX 1792,,ASSINIBOIA,SK,S0H 0B0
Yellow Quill,376,SK,PO BOX 40,,YELLOW QUILL,SK,S0A 3A0
Carcross/Tagish First Nation,491,YT,PO BOX 130,,CARCROSS,YT,Y0B 1B0
Champagne,493,YT,,,,,
Champagne and Aishihik First Nations,507,YT,PO BOX 5310,,HAINES JUNCTION,YT,Y0B 1L0
Dease River,504,YT,PO BOX 79,,GOOD HOPE LAKE,BC,V0C 2Z0
First Nation of Nacho Nyak Dun,495,YT,PO BOX 220,,MAYO,YT,Y0B 1M0
Kluane First Nation,503,YT,PO BOX 20,,BURWASH LANDING,YT,Y0B 1V0
Kwanlin Dun First Nation,500,YT,35 McINTYRE STREET,,WHITEHORSE,YT,Y1A 5S5
Liard First Nation,502,YT,PO BOX 328,,WATSON LAKE,YT,Y0A 1C0
Little Salmon/Carmacks First Nation,492,YT,PO BOX 135,,CARMACKS,YT,Y0B 1C0
Ross River,497,YT,GENERAL DELIVERY,,ROSS RIVER,YT,Y0B 1S0
Selkirk First Nation,498,YT,PO BOX 40,,PELLY CROSSING,YT,Y0B 1P0
Ta'an Kwach'an,508,YT,117 INDUSTRIAL ROAD,,WHITEHORSE,YT,Y1A 2T8
Taku River Tlingit,501,YT,PO BOX 132,,ATLIN,BC,V0W 1A0
Teslin Tlingit Council,499,YT,PO BOX 133,,TESLIN,YT,Y0A 1B0
Tr�ondek Hwech�in,494,YT,PO BOX 599,,DAWSON CITY,YT,Y0B 1G0
Vuntut Gwitchin First Nation,496,YT,PO BOX 94,,OLD CROW,YT,Y0B 1N0
White River First Nation,506,YT,PO BOX 2,,BEAVER CREEK,YT,Y0B 1A0
,,,,,,,
